file,frames,duration_sec,predicted_punch_type,peak_velocity,peak_frame,profile_path,plot_path
IMG_3324.csv,520,17.333,uppercut,0.4647,431,output/profiles/IMG_3324_motion_profile.json,output/plots/IMG_3324_velocity.png
IMG_3325.csv,475,15.833,hook,0.4238,80,output/profiles/IMG_3325_motion_profile.json,output/plots/IMG_3325_velocity.png
IMG_3326.csv,444,14.8,hook,0.3574,224,output/profiles/IMG_3326_motion_profile.json,output/plots/IMG_3326_velocity.png
IMG_3327.csv,485,16.167,jab,0.4605,209,output/profiles/IMG_3327_motion_profile.json,output/plots/IMG_3327_velocity.png
IMG_3328.csv,443,14.767,jab,0.2824,105,output/profiles/IMG_3328_motion_profile.json,output/plots/IMG_3328_velocity.png
IMG_3329.csv,550,18.333,uppercut,0.3563,22,output/profiles/IMG_3329_motion_profile.json,output/plots/IMG_3329_velocity.png
IMG_3330.csv,599,19.967,hook,0.283,160,output/profiles/IMG_3330_motion_profile.json,output/plots/IMG_3330_velocity.png
IMG_3331.csv,323,10.767,uppercut,0.24,190,output/profiles/IMG_3331_motion_profile.json,output/plots/IMG_3331_velocity.png
IMG_3332.csv,241,8.033,uppercut,0.457,17,output/profiles/IMG_3332_motion_profile.json,output/plots/IMG_3332_velocity.png
IMG_3333.csv,265,8.833,jab,0.359,16,output/profiles/IMG_3333_motion_profile.json,output/plots/IMG_3333_velocity.png
IMG_3334.csv,228,7.6,jab,0.2645,2,output/profiles/IMG_3334_motion_profile.json,output/plots/IMG_3334_velocity.png
IMG_3335.csv,281,9.367,jab,0.2566,113,output/profiles/IMG_3335_motion_profile.json,output/plots/IMG_3335_velocity.png
IMG_3336.csv,347,11.567,hook,0.2755,151,output/profiles/IMG_3336_motion_profile.json,output/plots/IMG_3336_velocity.png
IMG_3337.csv,328,10.933,uppercut,0.2187,183,output/profiles/IMG_3337_motion_profile.json,output/plots/IMG_3337_velocity.png
IMG_3338.csv,325,10.833,uppercut,0.2362,139,output/profiles/IMG_3338_motion_profile.json,output/plots/IMG_3338_velocity.png
IMG_3340.csv,262,8.733,uppercut,0.2728,123,output/profiles/IMG_3340_motion_profile.json,output/plots/IMG_3340_velocity.png
IMG_3341.csv,275,9.167,hook,0.3848,33,output/profiles/IMG_3341_motion_profile.json,output/plots/IMG_3341_velocity.png
IMG_3343.csv,234,7.8,uppercut,0.2965,85,output/profiles/IMG_3343_motion_profile.json,output/plots/IMG_3343_velocity.png
IMG_3344.csv,211,7.033,hook,0.3797,14,output/profiles/IMG_3344_motion_profile.json,output/plots/IMG_3344_velocity.png
IMG_3345.csv,207,6.9,uppercut,0.2867,33,output/profiles/IMG_3345_motion_profile.json,output/plots/IMG_3345_velocity.png
IMG_3346.csv,241,8.033,hook,0.2393,31,output/profiles/IMG_3346_motion_profile.json,output/plots/IMG_3346_velocity.png
IMG_3347.csv,257,8.567,hook,0.3569,39,output/profiles/IMG_3347_motion_profile.json,output/plots/IMG_3347_velocity.png
IMG_3348.csv,304,10.133,hook,0.3995,14,output/profiles/IMG_3348_motion_profile.json,output/plots/IMG_3348_velocity.png
IMG_3349.csv,267,8.9,uppercut,0.2626,38,output/profiles/IMG_3349_motion_profile.json,output/plots/IMG_3349_velocity.png
IMG_3350.csv,276,9.2,jab,0.2643,14,output/profiles/IMG_3350_motion_profile.json,output/plots/IMG_3350_velocity.png
IMG_3351.csv,271,9.033,hook,0.2735,103,output/profiles/IMG_3351_motion_profile.json,output/plots/IMG_3351_velocity.png
IMG_3352.csv,311,10.367,hook,0.3121,172,output/profiles/IMG_3352_motion_profile.json,output/plots/IMG_3352_velocity.png
IMG_3353.csv,339,11.3,jab,0.2254,137,output/profiles/IMG_3353_motion_profile.json,output/plots/IMG_3353_velocity.png
IMG_3354.csv,278,9.267,jab,0.2195,16,output/profiles/IMG_3354_motion_profile.json,output/plots/IMG_3354_velocity.png
IMG_3355.csv,218,7.267,hook,0.3237,21,output/profiles/IMG_3355_motion_profile.json,output/plots/IMG_3355_velocity.png
IMG_3357.csv,258,8.6,jab,0.283,59,output/profiles/IMG_3357_motion_profile.json,output/plots/IMG_3357_velocity.png
IMG_3358.csv,235,7.833,hook,0.2429,71,output/profiles/IMG_3358_motion_profile.json,output/plots/IMG_3358_velocity.png
IMG_3359.csv,224,7.467,uppercut,0.2881,10,output/profiles/IMG_3359_motion_profile.json,output/plots/IMG_3359_velocity.png
IMG_3360.csv,255,8.5,jab,0.3028,22,output/profiles/IMG_3360_motion_profile.json,output/plots/IMG_3360_velocity.png
IMG_3361.csv,272,9.067,hook,0.2735,91,output/profiles/IMG_3361_motion_profile.json,output/plots/IMG_3361_velocity.png
IMG_3362.csv,259,8.633,hook,0.3282,23,output/profiles/IMG_3362_motion_profile.json,output/plots/IMG_3362_velocity.png
IMG_3363.csv,249,8.3,jab,0.2742,33,output/profiles/IMG_3363_motion_profile.json,output/plots/IMG_3363_velocity.png
IMG_3364.csv,309,10.3,jab,0.2152,37,output/profiles/IMG_3364_motion_profile.json,output/plots/IMG_3364_velocity.png
IMG_3365.csv,275,9.167,hook,0.2972,36,output/profiles/IMG_3365_motion_profile.json,output/plots/IMG_3365_velocity.png
IMG_3366.csv,274,9.133,jab,0.3148,34,output/profiles/IMG_3366_motion_profile.json,output/plots/IMG_3366_velocity.png
IMG_3367.csv,262,8.733,jab,0.2623,38,output/profiles/IMG_3367_motion_profile.json,output/plots/IMG_3367_velocity.png
IMG_3368.csv,293,9.767,jab,0.2479,46,output/profiles/IMG_3368_motion_profile.json,output/plots/IMG_3368_velocity.png
IMG_3369.csv,267,8.9,hook,0.2218,29,output/profiles/IMG_3369_motion_profile.json,output/plots/IMG_3369_velocity.png
IMG_3370.csv,274,9.133,hook,0.2253,31,output/profiles/IMG_3370_motion_profile.json,output/plots/IMG_3370_velocity.png
IMG_3371.csv,279,9.3,hook,0.2041,108,output/profiles/IMG_3371_motion_profile.json,output/plots/IMG_3371_velocity.png
IMG_3372.csv,307,10.233,jab,0.2939,31,output/profiles/IMG_3372_motion_profile.json,output/plots/IMG_3372_velocity.png
IMG_3373.csv,273,9.1,jab,0.2724,30,output/profiles/IMG_3373_motion_profile.json,output/plots/IMG_3373_velocity.png
IMG_3374.csv,289,9.633,hook,0.2521,154,output/profiles/IMG_3374_motion_profile.json,output/plots/IMG_3374_velocity.png
IMG_3375.csv,277,9.233,jab,0.226,139,output/profiles/IMG_3375_motion_profile.json,output/plots/IMG_3375_velocity.png
IMG_3376.csv,238,7.933,jab,0.2903,12,output/profiles/IMG_3376_motion_profile.json,output/plots/IMG_3376_velocity.png
IMG_3425.csv,520,17.333,jab,0.4675,430,output/profiles/IMG_3425_motion_profile.json,output/plots/IMG_3425_velocity.png
